stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\dev\Faculdade\compGrafica\SpriteWalking\x64\Debug\allegro5.cfg r
system   D            wsystem.c:836  maybe_parent_dir                 [   0.06456] Also searching C:\dev\Faculdade\compGrafica\SpriteWalking\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.06482] PathFindOnPath failed to find d3dx9_42.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.06489] Also searching C:\dev\Faculdade\compGrafica\SpriteWalking\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.06516] PathFindOnPath failed to find d3dx9_41.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.06524] Also searching C:\dev\Faculdade\compGrafica\SpriteWalking\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.06548] PathFindOnPath failed to find d3dx9_40.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.06555] Also searching C:\dev\Faculdade\compGrafica\SpriteWalking\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.06576] PathFindOnPath failed to find d3dx9_39.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.06584] Also searching C:\dev\Faculdade\compGrafica\SpriteWalking\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.06613] PathFindOnPath failed to find d3dx9_38.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.06622] Also searching C:\dev\Faculdade\compGrafica\SpriteWalking\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.06650] PathFindOnPath failed to find d3dx9_37.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.06657] Also searching C:\dev\Faculdade\compGrafica\SpriteWalking\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.06691] PathFindOnPath failed to find d3dx9_36.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.06705] Also searching C:\dev\Faculdade\compGrafica\SpriteWalking\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.06728] PathFindOnPath failed to find d3dx9_35.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.06733] Also searching C:\dev\Faculdade\compGrafica\SpriteWalking\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.06754] PathFindOnPath failed to find d3dx9_34.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.06759] Also searching C:\dev\Faculdade\compGrafica\SpriteWalking\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.06778] PathFindOnPath failed to find d3dx9_33.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.06787] Also searching C:\dev\Faculdade\compGrafica\SpriteWalking\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.06821] PathFindOnPath failed to find d3dx9_32.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.06832] Also searching C:\dev\Faculdade\compGrafica\SpriteWalking\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.06861] PathFindOnPath failed to find d3dx9_31.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.06874] Also searching C:\dev\Faculdade\compGrafica\SpriteWalking\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.06903] PathFindOnPath failed to find d3dx9_30.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.06912] Also searching C:\dev\Faculdade\compGrafica\SpriteWalking\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.06942] PathFindOnPath failed to find d3dx9_29.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.06951] Also searching C:\dev\Faculdade\compGrafica\SpriteWalking\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.06980] PathFindOnPath failed to find d3dx9_28.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.06989] Also searching C:\dev\Faculdade\compGrafica\SpriteWalking\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.07017] PathFindOnPath failed to find d3dx9_27.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.07025] Also searching C:\dev\Faculdade\compGrafica\SpriteWalking\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.07056] PathFindOnPath failed to find d3dx9_26.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.07067] Also searching C:\dev\Faculdade\compGrafica\SpriteWalking\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.07097] PathFindOnPath failed to find d3dx9_25.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.07105] Also searching C:\dev\Faculdade\compGrafica\SpriteWalking\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.07126] PathFindOnPath failed to find d3dx9_24.dll
d3dx9    E        d3d_d3dx9.cpp:121  _al_load_d3dx9_module            [   0.07128] Failed to load D3DX9 library. Library is not installed.
dtor     D               dtor.c:196  _al_register_destructor          [   0.07391] added dtor for bitmap 000001D990F20E40, func 00007FFC702F118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.07432] added dtor for bitmap 000001D990F3AB60, func 00007FFC702F118B
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.07607] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.07611] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.07613] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.07615] Fake format
